Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.09     0.00      257     0.00     0.00  std::allocator<HSLA>::allocator()
  0.00      0.09     0.00      257     0.00     0.00  std::_Vector_base<HSLA, std::allocator<HSLA> >::_Vector_impl::~_Vector_impl()
  0.00      0.09     0.00      257     0.00     0.00  std::_Vector_base<HSLA, std::allocator<HSLA> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.09     0.00      257     0.00     0.00  std::_Vector_base<HSLA, std::allocator<HSLA> >::~_Vector_base()
  0.00      0.09     0.00      257     0.00     0.00  std::vector<HSLA, std::allocator<HSLA> >::~vector()
  0.00      0.09     0.00      257     0.00     0.00  __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, HSLA*>(__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, HSLA*)
  0.00      0.09     0.00      256     0.00     0.00  __gnu_cxx::__normal_iterator<HSLA const*, std::vector<HSLA, std::allocator<HSLA> > >::__normal_iterator(HSLA const* const&)
  0.00      0.09     0.00      256     0.00     0.00  __gnu_cxx::__normal_iterator<HSLA const*, std::vector<HSLA, std::allocator<HSLA> > >::__normal_iterator<HSLA*>(__gnu_cxx::__normal_iterator<HSLA*, __gnu_cxx::__enable_if<std::__are_same<HSLA*, HSLA*>::__value, std::vector<HSLA, std::allocator<HSLA> > >::__type> const&)
  0.00      0.09     0.00      256     0.00     0.00  __gnu_cxx::__normal_iterator<HSLA const*, std::vector<HSLA, std::allocator<HSLA> > >::difference_type __gnu_cxx::operator-<HSLA const*, std::vector<HSLA, std::allocator<HSLA> > >(__gnu_cxx::__normal_iterator<HSLA const*, std::vector<HSLA, std::allocator<HSLA> > > const&, __gnu_cxx::__normal_iterator<HSLA const*, std::vector<HSLA, std::allocator<HSLA> > > const&)
  0.00      0.09     0.00      256     0.00     0.00  std::vector<HSLA, std::allocator<HSLA> >::cbegin() const
  0.00      0.09     0.00      256     0.00     0.00  std::_Vector_base<HSLA, std::allocator<HSLA> >::_Vector_impl::_Vector_impl()
  0.00      0.09     0.00      256     0.00     0.00  std::_Vector_base<HSLA, std::allocator<HSLA> >::_Vector_base()
  0.00      0.09     0.00      256     0.00     0.00  void std::vector<HSLA, std::allocator<HSLA> >::_M_range_insert<__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > > >(__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, std::forward_iterator_tag)
  0.00      0.09     0.00      256     0.00     0.00  void std::vector<HSLA, std::allocator<HSLA> >::_M_insert_dispatch<__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > > >(__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, std::__false_type)
  0.00      0.09     0.00      256     0.00     0.00  __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > > std::vector<HSLA, std::allocator<HSLA> >::insert<__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, void>(__gnu_cxx::__normal_iterator<HSLA const*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >)
